"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.570395354E2,5.238664112E1,4.865663170E0,1.201445334E1,1.879999995E0,2.460000000E2,9.935046196E0,3.244310856E0
1.580395341E2,5.238662677E1,4.865636850E0,1.166914193E1,2.700000048E0,2.323999939E2,9.935046196E0,3.158954144E0
1.590392804E2,5.238661186E1,4.865609460E0,1.143143410E1,2.230000019E0,2.378000031E2,9.935046196E0,3.064616919E0
1.600409933E2,5.238659863E1,4.865579280E0,1.184942768E1,2.539999962E0,2.386999969E2,9.935046196E0,3.040159941E0
1.610405243E2,5.238658639E1,4.865541890E0,1.219051416E1,3.109999895E0,2.475000000E2,1.014799309E1,3.103118896E0
1.620455262E2,5.238657475E1,4.865504850E0,1.273887708E1,2.720000029E0,2.456999969E2,1.041080379E1,3.539279938E0
1.630409070E2,5.238656196E1,4.865468190E0,1.308997298E1,3.160000086E0,2.433999939E2,1.087100792E1,4.506917000E0
1.640399906E2,5.238654893E1,4.865438470E0,1.365396320E1,2.220000029E0,2.391999969E2,1.174200153E1,5.625157356E0
1.650404034E2,5.238653558E1,4.865419270E0,1.461389417E1,2.140000105E0,2.258999939E2,1.211047935E1,6.654592514E0
1.660396845E2,5.238652128E1,4.865397910E0,1.458236747E1,2.410000086E0,2.295000000E2,1.275975418E1,7.801379681E0
1.670414456E2,5.238650557E1,4.865372430E0,1.476403218E1,2.829999924E0,2.330000000E2,1.309334660E1,8.412524223E0
1.680391273E2,5.238649217E1,4.865348710E0,1.468361621E1,2.059999943E0,2.363999939E2,1.356196880E1,9.273588181E0
1.690392726E2,5.238648052E1,4.865327060E0,1.540899004E1,2.319999933E0,2.366999969E2,1.390665150E1,9.976716995E0
1.700392617E2,5.238646918E1,4.865303500E0,1.527895547E1,2.230000019E0,2.366000061E2,1.414168262E1,1.016859150E1
1.710391761E2,5.238645858E1,4.865279100E0,1.643389460E1,2.240000010E0,2.393999939E2,1.377353477E1,1.000303745E1
1.720410401E2,5.238644924E1,4.865254810E0,1.636788830E1,2.009999990E0,2.368000031E2,1.341830826E1,9.691121101E0
1.730456898E2,5.238644068E1,4.865229400E0,1.614117689E1,1.950000048E0,2.368999939E2,1.330671692E1,9.357313156E0
1.740403315E2,5.238643061E1,4.865195240E0,1.590713402E1,2.900000095E0,2.431999969E2,1.260125732E1,8.427977562E0
1.750415737E2,5.238642166E1,4.865160590E0,1.573614177E1,2.089999914E0,2.435000000E2,1.194056416E1,7.436313152E0
1.760396296E2,5.238641385E1,4.865121120E0,1.572518249E1,3.089999914E0,2.473999939E2,1.142276382E1,6.623036861E0
1.770390803E2,5.238640799E1,4.865082690E0,1.550884325E1,2.029999971E0,2.468000031E2,1.099799538E1,5.968793392E0
1.780386848E2,5.238640370E1,4.865042950E0,1.361043759E1,2.900000095E0,2.503000031E2,1.071896935E1,5.512907028E0
1.790410232E2,5.238639808E1,4.864995480E0,1.263011638E1,2.819999933E0,2.518999939E2,1.054963017E1,5.187509537E0
1.800406535E2,5.238639463E1,4.864953640E0,1.242873216E1,2.250000000E0,2.556999969E2,1.047128868E1,5.027054787E0
1.810486028E2,5.238639312E1,4.864913290E0,1.232775437E1,2.380000114E0,2.588999939E2,1.071843815E1,5.015901566E0
1.820401308E2,5.238638858E1,4.864869730E0,1.137502484E1,2.910000086E0,2.567999878E2,1.029983711E1,4.543560982E0
1.830409803E2,5.238638377E1,4.864828130E0,1.116869500E1,2.220000029E0,2.592000122E2,1.024965668E1,4.412737846E0
1.840408769E2,5.238637517E1,4.864783850E0,1.076228503E1,3.319999933E0,2.518000031E2,1.022972012E1,4.296827793E0
1.850399296E2,5.238636656E1,4.864741020E0,1.089170353E1,2.309999943E0,2.511000061E2,1.016994286E1,3.992744207E0
1.860384382E2,5.238635912E1,4.864707700E0,1.044111212E1,2.150000095E0,2.476000061E2,1.007324886E1,3.808216333E0
1.870399369E2,5.238634920E1,4.864672850E0,1.123459592E1,2.509999990E0,2.455000000E2,9.935046196E0,3.610830307E0
1.880387179E2,5.238634213E1,4.864640080E0,1.164801903E1,1.690000057E0,2.506000061E2,9.935046196E0,3.598143816E0
1.890407648E2,5.238633534E1,4.864603300E0,1.077146216E1,2.920000076E0,2.486999969E2,9.935046196E0,3.441084146E0
1.900401158E2,5.238632601E1,4.864559660E0,1.110498074E1,2.930000067E0,2.495000000E2,9.935046196E0,3.224321842E0
1.910419632E2,5.238631740E1,4.864518440E0,1.068227615E1,2.660000086E0,2.490000000E2,9.935046196E0,3.034787655E0
1.920392718E2,5.238630755E1,4.864480000E0,1.068272817E1,2.730000019E0,2.445000000E2,9.935046196E0,2.842450380E0
1.930405573E2,5.238630093E1,4.864447340E0,1.197316614E1,1.830000043E0,2.510000000E2,9.935046196E0,2.916066408E0
1.940398045E2,5.238629325E1,4.864414150E0,1.140184693E1,2.690000057E0,2.463000031E2,9.935046196E0,3.031531334E0
1.950394713E2,5.238628495E1,4.864379850E0,1.150038705E1,2.210000038E0,2.451000061E2,9.935046196E0,2.852429867E0
1.960415955E2,5.238627454E1,4.864342270E0,1.153990129E1,3.190000057E0,2.428000031E2,9.935046196E0,2.804398298E0
1.970434657E2,5.238626391E1,4.864306840E0,1.200232907E1,2.160000086E0,2.410000000E2,9.935046196E0,2.660554171E0
1.980404102E2,5.238625461E1,4.864270130E0,1.207748991E1,2.970000029E0,2.458000031E2,9.935046196E0,2.641888857E0
1.990402160E2,5.238624533E1,4.864228580E0,1.177868555E1,2.650000095E0,2.511000061E2,9.935046196E0,2.632809639E0
2.000388636E2,5.238623772E1,4.864189500E0,1.214876926E1,2.579999924E0,2.531000061E2,9.935046196E0,2.565349340E0
