"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.885812504E2,5.235517350E1,4.858306690E0,2.760749098E1,4.800000191E0,8.650000000E1,2.413273430E1,1.648450089E1
1.895816434E2,5.235517829E1,4.858372010E0,2.931236935E1,4.250000000E0,8.880000305E1,2.462324333E1,1.689271545E1
1.905799868E2,5.235519015E1,4.858436930E0,3.021556064E1,4.820000172E0,8.230000305E1,2.396509933E1,1.704929924E1
1.915798067E2,5.235520558E1,4.858497900E0,3.007822733E1,3.650000095E0,6.900000000E1,2.286083031E1,1.672994995E1
1.925836490E2,5.235522547E1,4.858562620E0,2.853312657E1,4.650000095E0,6.090000153E1,2.326673889E1,1.662907410E1
1.935804590E2,5.235524796E1,4.858635020E0,2.624523604E1,4.809999943E0,6.029999924E1,2.375809097E1,1.553125668E1
1.945808527E2,5.235526724E1,4.858708120E0,2.637927744E1,4.309999943E0,6.459999847E1,2.335851288E1,1.465279293E1
1.955806834E2,5.235528978E1,4.858888220E0,2.602693491E1,5.539999962E0,6.709999847E1,2.209123039E1,1.326358032E1
1.965813044E2,5.235529816E1,4.858983140E0,2.590682319E1,5.000000000E0,7.669999695E1,2.181698799E1,1.223438549E1
1.975854136E2,5.235530607E1,4.859050640E0,2.473536443E1,4.840000153E0,7.069999695E1,2.065224075E1,1.120397377E1
1.985827360E2,5.235532241E1,4.859189160E0,2.353234224E1,5.150000095E0,7.200000000E1,1.869870186E1,1.004298306E1
1.995813191E2,5.235531411E1,4.859308320E0,2.020390806E1,4.989999771E0,7.669999695E1,1.452922535E1,8.486383438E0
2.005814320E2,5.235531460E1,4.859476690E0,1.472005806E1,5.050000191E0,6.709999847E1,1.221291256E1,7.572087765E0
2.015807783E2,5.235534286E1,4.859626410E0,1.153811621E1,5.840000153E0,6.170000076E1,1.039365482E1,6.689087391E0
2.025799114E2,5.235535815E1,4.859683870E0,1.062661077E1,4.929999828E0,6.100000000E1,9.323285103E0,6.026605606E0
2.035822588E2,5.235539709E1,4.859764510E0,1.216839899E1,6.099999905E0,4.959999847E1,9.095208168E0,5.753921032E0
2.045816198E2,5.235540713E1,4.859823200E0,1.187614958E1,5.019999981E0,6.500000000E1,9.072258949E0,5.646457195E0
2.055813570E2,5.235542807E1,4.859884830E0,1.158300165E1,4.800000191E0,5.890000153E1,9.931487083E0,5.699250698E0
2.065838826E2,5.235544910E1,4.859937910E0,1.128282987E1,4.659999847E0,5.650000000E1,1.169746399E1,5.784084320E0
2.075829614E2,5.235548045E1,4.860002010E0,1.142017895E1,5.070000172E0,5.579999924E1,1.469577312E1,5.585015297E0
2.085817153E2,5.235551457E1,4.860067230E0,1.204300620E1,5.179999828E0,5.409999847E1,1.584260845E1,5.884736538E0
2.095831493E2,5.235554470E1,4.860078500E0,1.382473229E1,4.369999886E0,5.179999924E1,1.375195599E1,5.737247944E0
2.105816955E2,5.235553824E1,4.860147670E0,1.262810782E1,4.610000134E0,5.759999847E1,1.354489326E1,5.604372978E0
2.115807833E2,5.235556891E1,4.860256200E0,1.328177795E1,5.139999866E0,6.190000153E1,1.350506687E1,5.644152164E0
2.125789421E2,5.235559934E1,4.860331270E0,1.284100707E1,5.059999943E0,5.950000000E1,1.368224621E1,5.598209381E0
2.135801472E2,5.235561340E1,4.860388660E0,1.307543492E1,4.670000076E0,6.279999924E1,1.387683964E1,5.598525047E0
2.145803534E2,5.235563145E1,4.860493690E0,1.355391440E1,5.260000229E0,6.540000153E1,1.447155380E1,5.902769089E0
